Query,Last 3 months Clicks,Previous 3 months Clicks,Last 3 months Impressions,Previous 3 months Impressions,Last 3 months CTR,Previous 3 months CTR,Last 3 months Position,Previous 3 months Position
chris coffee,5391,4905,7342,6885,73.43%,71.24%,1.84,2.44
chris's coffee,757,667,1080,961,70.09%,69.41%,2.67,2.75
chriscoffee,563,643,707,831,79.63%,77.38%,1.24,1.18
chris' coffee,336,233,480,375,70%,62.13%,1.67,2.07
chris coffee service,252,236,528,422,47.73%,55.92%,3.06,2.68
vst basket,211,152,3311,2651,6.37%,5.73%,4.87,4.96
chriss coffee,142,127,245,215,57.96%,59.07%,3.15,2.87
quick mill silvano,116,135,1144,1156,10.14%,11.68%,4.03,3.92
quick mill carola,113,62,981,645,11.52%,9.61%,9.05,5.67
vesuvius espresso,99,117,761,659,13.01%,17.75%,3.22,2.79
chris coffee parts,83,79,114,105,72.81%,75.24%,1,1
acs vesuvius,78,47,576,382,13.54%,12.3%,3.72,5.54
erics thermometer,77,17,232,95,33.19%,17.89%,1.94,5.76
ceado e37s,73,144,4586,4145,1.59%,3.47%,7.22,7.04
ceado e5p,73,31,2738,1596,2.67%,1.94%,6.05,7.47
quick mill alexia evo,69,89,679,539,10.16%,16.51%,2.3,2.48
chris coffe,65,71,113,127,57.52%,55.91%,1.76,2.44
quick mill andreja premium,62,54,632,499,9.81%,10.82%,3.31,3.35
la marzocco linea mini,59,21,11945,3361,0.49%,0.62%,10.98,16.45
quick mill alexia,59,59,558,454,10.57%,13%,2.14,2.15
espresso machine repair near me,58,33,1705,787,3.4%,4.19%,7.42,7.26
la spaziale mini vivaldi ii,58,60,1651,1262,3.51%,4.75%,4.12,5.03
quick mill espresso,58,67,1230,1263,4.72%,5.3%,6.1,7.07
chris' coffee service,57,53,100,83,57%,63.86%,1.96,1.63
quick mill anita,53,33,656,410,8.08%,8.05%,2.16,2.72
quick mill qm67,53,57,560,455,9.46%,12.53%,3.35,2.89
ceado e37sd,52,47,2446,1404,2.13%,3.35%,6.67,6.67
la spaziale dream,52,31,872,628,5.96%,4.94%,5.9,7.13
chris coffee albany,51,55,110,100,46.36%,55%,2.64,2.37
vst tamper,50,51,250,200,20%,25.5%,3.24,2.4
dual boiler espresso machine,49,70,1904,2277,2.57%,3.07%,10.39,7.26
e61 thermometer,48,27,417,221,11.51%,12.22%,4.59,6.86
qm67 espresso machine,48,34,192,181,25%,18.78%,1.41,1.73
andreja premium,47,44,583,537,8.06%,8.19%,2.45,2.53
quickmill anita,45,38,533,490,8.44%,7.76%,2.35,2.68
quick mill silvano evo,45,71,496,474,9.07%,14.98%,3.17,3.18
e61 group head thermometer,44,19,277,130,15.88%,14.62%,4.63,6.43
eric's thermometer,41,13,154,74,26.62%,17.57%,1.99,5.28
mahlkonig peak,40,33,1904,1768,2.1%,1.87%,5.84,6.06
quick mill vetrano 2b evo,39,80,341,488,11.44%,16.39%,2.1,2.62
compak e8,38,30,370,219,10.27%,13.7%,7.2,7.98
ek43s,37,21,2215,1944,1.67%,1.08%,6.65,6.98
quickmill andreja premium,37,32,383,251,9.66%,12.75%,4.23,4.22
vetrano 2b evo,37,50,293,297,12.63%,16.84%,2.54,2.47
